 x, y, z, yaw
-5.7108, 66.8230, 0.0018, -1.7294
-5.7968, 66.2860, 0.0014, -1.7299
-5.8856, 65.7328, 0.0014, -1.7299
-6.0007, 65.0153, 0.0014, -1.7299
-6.0894, 64.4626, 0.0014, -1.7299
-6.1913, 63.7685, 0.0015, -1.7221
-6.2126, 63.0143, 0.0017, -1.6594
-6.2231, 62.1960, 0.0016, -1.6241
-6.2641, 61.3350, 0.0016, -1.6222
-6.3180, 60.2834, 0.0015, -1.6222
-6.3737, 59.3819, 0.0015, -1.6304
-6.4410, 58.8489, 0.0016, -1.6601
-6.5392, 58.2433, 0.0016, -1.6956
-6.6286, 57.6806, 0.0015, -1.7113
-6.7140, 57.1055, 0.0015, -1.7150
-6.7979, 56.5334, 0.0015, -1.7159
-6.9048, 55.8040, 0.0015, -1.7162
-6.9972, 55.1734, 0.0015, -1.7162
-7.0943, 54.5103, 0.0015, -1.7162
-7.1757, 53.9549, 0.0015, -1.7162
-7.2779, 53.2568, 0.0015, -1.7162
-7.3769, 52.4934, 0.0016, -1.7051
-7.4340, 51.7779, 0.0016, -1.6700
-7.4661, 51.0209, 0.0016, -1.6284
-7.4887, 50.3211, 0.0016, -1.6054
-7.5152, 49.4689, 0.0016, -1.5957
-7.5372, 48.6530, 0.0016, -1.5930
-7.5585, 47.7639, 0.0016, -1.5920
-7.5760, 46.9806, 0.0016, -1.5918
-7.5986, 45.9276, 0.0016, -1.5917
-7.6174, 45.0361, 0.0016, -1.5916
-7.6479, 44.1417, 0.0016, -1.6020
-7.7096, 43.3134, 0.0016, -1.6362
-7.8274, 42.3302, 0.0016, -1.6920
-7.9526, 41.4634, 0.0016, -1.7279
-8.1096, 40.4594, 0.0016, -1.7468
-8.2529, 39.6046, 0.0016, -1.7531
-8.4520, 38.4788, 0.0016, -1.7563
-8.6344, 37.4812, 0.0016, -1.7573
-8.8245, 36.4582, 0.0016, -1.7577
-9.0194, 35.4189, 0.0016, -1.7579
-9.1969, 34.4770, 0.0016, -1.7579
-9.3746, 33.5360, 0.0016, -1.7579
-9.5941, 32.3751, 0.0016, -1.7580
-9.7888, 31.3466, 0.0016, -1.7580
